GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BahiKhataUtilities,bahikhata.utilities.monitoring.factory,BahiKhataMonitoringMBeanFactory,98,0,4,0,24,0,12,0,10,0
BahiKhataUtilities,bahikhata.utilities.stringutilities,BahiKhataStringUtility,12,60,1,23,4,16,2,14,1,3
BahiKhataUtilities,bahikhata.utilities.validationutilities,BahiKhataValidationsErrorResponseBuilderUtility,80,0,10,0,20,0,10,0,5,0
BahiKhataUtilities,bahikhata.utilities.jwtutilities,BahiKhataJwtConverter,7,0,0,0,3,0,2,0,2,0
BahiKhataUtilities,bahikhata.utilities.datetimeutilities,BahiKhataDateTimeConstants,8,0,0,0,2,0,1,0,1,0
BahiKhataUtilities,bahikhata.utilities.datetimeutilities,BahiKhataDateTimeUtility,324,11,24,0,71,3,24,2,12,2
BahiKhataUtilities,bahikhata.utilities.monitoring.dto,BahiKhataOperatingSystemStatisticsDTO,72,0,0,0,23,0,11,0,11,0
BahiKhataUtilities,bahikhata.utilities.monitoring.dto,BahiKhataMemoryStatsticsDTO,132,0,0,0,42,0,19,0,19,0
BahiKhataUtilities,bahikhata.utilities.monitoring.dto,BahiKhataCacheStatisticsDTO,177,0,0,0,54,0,25,0,25,0
BahiKhataUtilities,bahikhata.utilities.monitoring.dto,BahiKhataRuntimeStatisticsDTO,57,0,0,0,18,0,9,0,9,0
BahiKhataUtilities,bahikhata.utilities.monitoring.service,BahiKhataMonitoringService,436,0,6,0,111,0,12,0,9,0
BahiKhataUtilities,bahikhata.utilities.monitoring.controller,BahiKhataMonitoringController,71,0,0,0,10,0,5,0,5,0
BahiKhataUtilities,bahikhata.utilities.dto,BahiKhataErrorResponseDTO,87,0,6,0,25,0,12,0,9,0
BahiKhataUtilities,bahikhata.utilities.dto,BahiKhataErrorDTO,146,0,14,0,34,0,20,0,13,0
BahiKhataUtilities,bahikhata.utilities.monitoring.exception,BahiKhataStatsticsBeanException,56,0,0,0,20,0,5,0,5,0
BahiKhataUtilities,bahikhata.utilities.monitoring.constants,BahiKhataMonitoringConstants,8,0,0,0,2,0,1,0,1,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataTestingConstants,8,0,0,0,2,0,1,0,1,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataLocalDateTimeFactory,11,0,0,0,4,0,4,0,4,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataTestAuthorizationServerConfig,357,0,2,0,59,0,8,0,7,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataSecurityContextTestUtility,19,0,2,0,8,0,3,0,2,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,SecurityConfiguration,6,0,0,0,2,0,2,0,2,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataZonedDateTimeFactory,11,0,0,0,4,0,4,0,4,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataMockUserImpl.new BahiKhataMockUser() {...},51,0,0,0,8,0,8,0,8,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataResourceServerTestConfiguration,11,0,0,0,4,0,2,0,2,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataMockUserImpl,108,0,0,0,29,0,6,0,6,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataModelAndDTOTester,140,0,2,0,35,0,12,0,11,0
BahiKhataUtilities,bahikhata.utilities.testingutilities,BahiKhataTestToken,47,0,0,0,15,0,6,0,6,0
BahiKhataUtilities,bahikhata.utilities.password,BahiKhataPasswordEncoderConstants,8,0,0,0,2,0,1,0,1,0
BahiKhataUtilities,bahikhata.utilities.password,BahiKhataPasswordEncoder,298,0,10,0,52,0,12,0,7,0
BahiKhataUtilities,bahikhata.utilities.config,BahiKhataCommonSpringBeanConstants,8,0,0,0,2,0,1,0,1,0
BahiKhataUtilities,bahikhata.utilities.exception.handler,BahiKhataExceptionHandler,405,0,22,0,105,0,19,0,8,0
BahiKhataUtilities,bahikhata.utilities.exception.handler,BahiKhataExceptionHandlerConstants,8,0,0,0,2,0,1,0,1,0
BahiKhataUtilities,bahikhata.utilities.responsejson,BahiKhataJsonResponseUtility,284,0,8,0,84,0,15,0,11,0
BahiKhataUtilities,bahikhata.utilities.monitoring.exception.handler,BahiKhatMonitoringExceptionHandler,65,0,0,0,18,0,2,0,2,0
BahiKhataUtilities,bahikhata.utilities.yamlutilities,BahiKhataYamlToPropertySourceFactory,38,0,2,0,8,0,4,0,3,0
BahiKhataUtilities,bahikhata.utilities.model,CustomerDiscount,146,0,26,0,43,0,22,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,CustomerDiscountPK,124,0,18,0,38,0,18,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,ProfitAndLossPK,146,0,26,0,43,0,22,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,Account,736,0,138,0,182,0,102,0,33,0
BahiKhataUtilities,bahikhata.utilities.model,ItemQupDiscountPK,126,0,18,0,38,0,18,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,Till,401,0,76,0,103,0,57,0,19,0
BahiKhataUtilities,bahikhata.utilities.model,TillPK,124,0,18,0,38,0,18,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,BalanceSheetPK,146,0,26,0,43,0,22,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,JournalPK,126,0,18,0,38,0,18,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,AccountStatus,248,0,46,0,67,0,36,0,13,0
BahiKhataUtilities,bahikhata.utilities.model,Ledger,379,0,68,0,98,0,53,0,19,0
BahiKhataUtilities,bahikhata.utilities.model,ProfitAndLoss,299,0,56,0,79,0,43,0,15,0
BahiKhataUtilities,bahikhata.utilities.model,BalanceSheet,129,0,10,0,38,0,18,0,13,0
BahiKhataUtilities,bahikhata.utilities.model,ItemQupDiscount,146,0,26,0,43,0,22,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,Customer,852,0,158,0,212,0,120,0,41,0
BahiKhataUtilities,bahikhata.utilities.model,AccountStatusPK,146,0,26,0,43,0,22,0,9,0
BahiKhataUtilities,bahikhata.utilities.model,Journal,350,0,66,0,91,0,50,0,17,0
